temperature_C,CSU106_obs,ZINC106_obs,CSU106_alpha_PDF,CSU106_single_alpha,ZINC106_alpha_PDF,ZINC106_single_alpha
-40,,,2.5e-02,2.5e-02,8.0e-02,8.0e-02
-38,,,2.5e-02,2.5e-02,5.0e-02,5.0e-02
-37,,6.0e-02,,,4.0e-02,4.0e-02
-36,,,2.5e-02,2.5e-02,3.5e-02,3.5e-02
-35,,2.5e-02,2.5e-02,2.5e-02,2.8e-02,2.8e-02
-34,,,2.5e-02,2.5e-02,2.0e-02,2.0e-02
-33,2.5e-02,2.0e-02,2.5e-02,2.5e-02,1.5e-02,1.5e-02
-32,,,2.0e-02,2.0e-02,1.0e-02,8.0e-03
-30,1.5e-02,5.0e-03,1.3e-02,1.2e-02,5.0e-03,3.0e-03
-28,1.3e-02,1.5e-03,8.0e-03,7.0e-03,1.5e-03,3.0e-04
-26,,,5.0e-03,3.5e-03,3.0e-04,1.0e-05
-25,4.0e-03,,4.0e-03,2.0e-03,1.0e-04,5.0e-06
-24,,,3.0e-03,1.0e-03,3.0e-05,
-22,1.5e-03,,1.5e-03,2.0e-04,5.0e-06,
-20,6.0e-04,,6.0e-04,1.0e-05,5.0e-06,
-18,,,2.0e-04,5.0e-07,,
-17,1.0e-04,,,,,
-16,,,5.0e-05,,,
-15,,,2.0e-05,,,
-12,,,5.0e-06,,,
-10,,,5.0e-06,,,
